,review,userName,date,rating,title,developerResponse,isEdited,country
0,"I am one happy customer due to the great service I received with getting my voucher issues sorted.
I bought my tickets last year not realising I had used a different email to log on to purchase them. As a consequence I didn’t read the email notification about concert to be cancelled due to Covid. I contacted fever team who assisted me redeem my vouchers. I made another mistake with bookings and mentioned it to Paula@fever who was assisting me not expecting anything. I was pleasantly surprised when told they’d look into it straightaway and resolved that issue as well! I now am able to purchase tickets using the vouchers to a concert of my choice. 
Thank you very much fever team. Made me confident to purchase tickets with Fever for future events due to great customer support and service!",HappyFeverCustomer,2021-03-03 18:15:10,5,Voucher issues for cancelled concert,"{'id': 21589185, 'body': 'Hello! 😊\nThank you so much for your 5-star review!\nWe will share this with the customer service team to let them know to keep up the amazing work!\nBest regards,', 'modified': '2021-03-11T12:26:18Z'}",False,AU
1,"Couldn’t recommend this app more highly. In addition to the great discount program and ease of purchasing tickets, the customer service is excellent. I’ve used great apps before in relation to content, but the customer service when you need assistance was shocking and stopped using them. No issues with that with this app. It’s soooo easy and helpful to get assistance. (Note this is the first time I think I’ve left a review for anything, that’s how grateful I am).",AngusBee,2021-03-14 18:15:41,5,Fantastic service!,"{'id': 21897906, 'body': 'Hi,\n\nWe love to hear that you had a great experience! Nothing makes us happier than great reviews as this one!\n\nHope to see you enjoying Fever events soon!\n\nKind regards,', 'modified': '2021-03-27T11:30:32Z'}",False,AU
2,"It’s been the worst experience I ever had with an events app.

I first bought two tickets to go to a candlelight concert. The concert was canceled due to rain and so the event people told us, they changed the date of our tickets and, in the case that we couldn’t attend that day, to contact fever up to reschedule. Unfortunately we couldn’t attend to the new date so I contacted fever up several times to get my tickets rescheduled as there was another event later on, after two weeks of trying to reach out to them, didn’t get an answer and lost the opportunity to attend the concert as they replied to me when there were no dates available anymore. When I asked for a refund they just gave me a voucher to use in another event.

After a while, I saw another event in which I wasn't too  interested but I had to use the voucher, right? So I went in and try to purchase two tickets with the voucher. I had so many errors in the app and they ended up charging me $135 in my bank card and only use a bit of the voucher!! SO FRUSTRATING 
Now they don’t want to refund me the $135. So they’re basically stealing from me. Terrible.

Fever up- is that how you make money? Charging users mistakenly and making them use that money again in your terrible app?

This will obviously be raised with consumer affairs.",alulada,2021-04-15 20:33:34,1,Worst app and customer service ever,"{'id': 22303965, 'body': 'Hello, we are sorry that you feel that way. We have checked your case and we can confirm that it is been sorted already by one of our agents. We are very sorry for the inconveniences caused. Best regards,', 'modified': '2021-04-18T11:19:46Z'}",False,AU
3,"I booked tickets to ""Candlelight Open Air: Chopin’s Best Works"" for myself and my partner. I was drawn in by the advertised candle lit park overlooking the river, and bought the best tickets I could seated closest to the water (as detailed on the seating plan). I booked the event in time with sunset in view of the setting. I have never before been more disappointed in my life when we arrived at the venue. The candle lit park overlooking the water had been replaced by what looked like didgy school hall you would be embarrassed to see your kids music recital in. 

Upon arrival the staff didn't know where to direct us after receiving our tickets, we were eventually shown to a spare row of uncomfortable plastic chairs that protested with loud screeches at the slightest of movement. 

The performance dragged on for an uninspiring hour punctuated only by the extremely regular screeches of the cheap decor, the hacking sound of the ancient aircondition looming over the already low ceilings like some sort of evil spirit, and regular unsilenced phone calls and covid sounding dry coughs.

I have never been more embarrassed to have invited someone to such a garbage event. I wouldn’t recommend this app or their events",Isaac LeM,2021-02-15 14:43:04,1,Very disappointing experience,"{'id': 21574301, 'body': 'Hello Isaac. Thank you for your review.\nWe always aim to deliver a great experience. We are gutted when we miss the mark! Thanks for taking the time to bring this to our attention.\nWe will email you soon to compensate you for this unpleasant experience and will use your feedback to make us better and to ensure this doesn’t happen again.\nBest regards,', 'modified': '2021-03-10T20:17:54Z'}",False,AU
4,"Thankyou so much for all the patience and time spent trouble shooting my email change issue 
I really appreciate your consideration communication and resolution
Daniela and the fever team are approachable and professional and took care to ensure everything went smoothly even considering the time difference!
This is the second time they’ve had to sort out issues of my own making 
The first being cancelled covid performance and credit reimbursement- again all went smoothly 
Again Thankyou so much 
Big thumbs up from me in Sydney Australia!",annems1,2021-05-31 20:52:40,5,Fabulous follow up service,"{'id': 23180723, 'body': 'Thank you so much for your 5-star review! We will share this with our team to let them know to keep up the amazing work.', 'modified': '2021-06-03T18:11:05Z'}",False,AU
5,I had my tickets automatically change to 8.30 from the 6.30 tickets I purchased without checking if this was ok. As soon as I and my friends realised the day before they were able to change theirs back however the agent Audra said it was impossible and indicated I needed to attend that time as there were no more times available. She did indicate I could attend another fever event for the same price however she didn’t appear to understand that people purchase tickets for things they would like to see. No offer of refund at all. BEWARE - super dodgy and it looks like they can change the time of your ticket at any stage,SDH007,2021-08-10 07:09:26,1,Dodgy service - BEWARE!,"{'id': 24447247, 'body': 'Hello! We apologize for the inconveniences caused by the cancellation of your event. Please reach us at customer_satisfaction@feverup.com so we can reopen your case and offer you a suitable solution!\n\nFever Team', 'modified': '2021-08-11T12:06:54Z'}",False,AU
6,"Could not change the date, despite falling ill and then could not get a refund for the event. It was within 48h, but the event is a continuous 3 month nightly thing that you walk into (it’s a light show in a park, not like I was taking up a seat in a concert or something) so to change the date should not have been a problem.
They should look into having a different cancellation/refund service based on the type of event. This was very disappointing and felt very cold and corporate as a response. 
Customer service was good if a little slow.",KarlT40,2022-02-04 05:08:33,1,Tried to change date,"{'id': 28092885, 'body': ""Hello. We're sorry that your experience with us has not been the best. We will forward your comments to the appropriate department for them to take them into account in the future. Regards,"", 'modified': '2022-02-16T22:24:23Z'}",False,AU
7,"Good events but dangerously the app has one-click purchasing if your bank details have been saved. I accidentally clicked on an event and purchased a ticket. Fever would not refund. There is no safe guard or confirmation required. 

I also woke up one morning to be delighted to know I had purchased a ticket to an event while I was asleep!!  Still waiting to hear back from Fever in that one. 

My tip is don’t trust the app with your payment details. Pay individually each time you make an event purchase.",Rumpelstiltskinn,2020-12-16 06:08:24,1,Good events and good for keeping your tickets in the app but app is buggy with purchases,,False,AU
8,"The events seem good but the app itself is terrible. The per ticket booking fees add up and to buy multiple ticket types then you have to do it in different transactions and be charged a hefty fee each time. That doesn’t seem to be displayed on the screen or invoice very clearly either. No refunds at all (even when the clunky user experience and check out cart is the reason why). While you can get a credit, you then get charged to use it ($14). You also can’t transfer a credit to different events. Overall an awful experience.",sallykaye123,2021-06-21 01:47:53,1,Terrible app,"{'id': 23520594, 'body': ""Thank you for bringing this to our attention, Sally! However, booking fees are applied per ticket, not per transaction, which means that even if you purchased the tickets altogether, the total bookings fees would be the same. If you're still needing assistance, feel free to get in touch with customer_satisfaction@feverup.com :)\n\nFever Team"", 'modified': '2021-06-22T09:53:57Z'}",False,AU
9,"Don’t book tickets through this!

An event I purchased tickets for was cancelled because of Covid in Melbourne. I was waiting for an email or notification telling me when it would be rescheduled but the only email I got eventually was asking me how I enjoyed the event and to rate it… I did not enjoy it, because I did not attend because I wasn’t told it was rescheduled. Unfortunately, I was really excited for this and now I’m just disappointed and bitter. They also never refunded a ticket mixup. Just awful.",LyndalKaren,2021-12-18 02:56:14,1,"Horrible, event cancelled and no notification of rescheduling or refund",,False,AU
