,userName,rating,isEdited,title,developerResponse,review,date,country
0,ADScanna,5,False,Super expérience,"{'id': 9986638, 'body': ""Bonjour, Un grand merci pour tes 5 étoiles et ton commentaire! :) Nous travaillons dur pour offrir le meilleur service à nos utilisateurs, et nous sommes ravis de savoir que nous sommes sur la bonne voie! N'hésite pas à nous contacter si tu as la moindre question, et reste attentif à l'appli, nous ajoutons de nouveaux plans tous les jours... ;) Merci d'utiliser Fever! Bien à toi,  Fever Team"", 'modified': '2019-08-03T12:56:40Z'}","Je suis passé dernièrement par l’intermédiaire de Fever pour assister à un spectacle sur Paris. J’ai été très satisfait par l’organisation mise en place par Fever pour répondre à mes questions sur cet événement. L’équipe s’est montrée très professionnelle et l’event relayé était top !

Fever propose dans son catalogue une large étendue de sorties toutes plus inspirantes les unes que les autres. 

Je recommande Fever et utiliserai moi même à nouveau ce service !",2019-08-01 09:28:46,FR
1,AskAurelia,1,False,N’utilisez pas l’application Fever,"{'id': 27126956, 'body': ""Bonjour, Nous sommes navrés que votre expérience n'ait pas été à la hauteur de vos attentes. Nous vous invitons à nous contacter à customer_satisfaction@feverup.com afin que nous puissions vous apporter une solution."", 'modified': '2021-12-29T14:49:09Z'}","N’utilisez surtout pas l’application Fever pour faire vos achats. Dès lors que vous effectuez un achat, vos coordonnées bancaires s’enregistrent automatiquement dans l’application et donnent lieu à des achats intempestifs. 
Un achat m’a par exemple été débité sans demande d’autorisation, ni code de validation lorsque je scrollais simplement dans l’app. 
Autant vous dire que, même si le service  après vente est bien au courant du dysfonctionnement (ils m’ont stipulé que je n’étais pas la seule à qui cela était arrivé), aucune solution vous sera donné car les billets sont « ni échangeables, ni remboursables » et qu’ils ne veulent pas faire d’avoir. Même trouver une solution alternative comme trouver une place à côté de celle acheté contre votre gré est au delà de leur compétence.
Prenez garde, et si comme moi vous vous êtes fait volé par Fever, je vous invite à signaler leurs abus à la FEVAD ou à la Commission Européenne du règlement en ligne des litiges. 
Le droit des consommateurs stipule clairement que nous avons un droit de rétractation et qu’un achat en ligne doit être validé par un code. Ce que ne permet pas leur application.",2021-12-21 19:54:06,FR
2,Nanis68,5,False,Qualité et rapidité,"{'id': 9370228, 'body': 'Bonjour,  Merci beaucoup pour tes 5 étoiles! Notre objectif est que nos utilisateurs soient satisfaits, et nous sommes ravis de savoir que nous avons accompli notre mission! Nous restons à ta disposition si tu as besoin de quoi que ce soit ;) Bien à toi,   Fever Team', 'modified': '2019-06-26T21:56:04Z'}",J’ai eu besoin d’une aide après des difficultés sur l’appli ! Une aide rapide et de qualité !,2019-06-22 12:06:41,FR
3,donprispa,4,False,Possibilité d’émettre des avis,,"Le site est parfait et les offres sélectionnées sont bien soignées. Toutefois, il faudrait laisser la possibilité aux participants de documenter leurs impressions (positives comme négatives) après avoir participé à un événement. 

Cela vous permettra de voir les axes d’amélioration et ceux dont on doit maintenir le niveau.",2018-11-04 06:27:25,FR
4,tijopila,5,False,Service client,"{'id': 23522241, 'body': ""Bonjour, un grand merci pour votre retour ! Nous sommes ravis d'avoir pu vous aider et que vous apprécié notre application Fever ! En espérant vous revoir très prochainement pour de nouvelles expériences,\n\nBien cordialement,\n\nFever Team"", 'modified': '2021-06-22T11:17:17Z'}",Application très bien et service client très réactif,2021-06-20 10:04:09,FR
5,#pollinn92,4,False,Service client efficace,"{'id': 12596599, 'body': ""Bonjour, \nMerci pour ta note et ton commentaire! Nous faisons le maximum pour offrir le meilleur service à nos utilisateurs, et ton commentaire nous fait très plaisir :)\nN'hésite pas à nous recontacter si tu as la moindre question, et reste attentive à l'appli, nous ajoutons de nouveaux plans tous les jours...\nMerci d'utiliser Fever!\nBien à toi,\nFever Team"", 'modified': '2019-12-26T13:52:29Z'}","J’ai eu besoin d’échanger des billets (problème de date) pour un concert donc contacté le service client par mail. Après un petit délai (3 jours) j’ai relancé le service et tout s’est réglé en quelques minutes, avec réponses par mail quasi immédiates pour trouver une solution. Service client tes sympathique par ailleurs !",2019-12-22 14:22:34,FR
6,MARHML.,5,False,Qualité du service,,"Je suis agréablement surprise par la qualité et la rapidité du service ! 
En effet j’avais un problème de compte, j’envoie un message via l’application et on m’a répondu directement en me réglant le problème ! Merci encore",2018-09-20 10:26:20,FR
7,sode75,1,False,Voleurs,"{'id': 16565148, 'body': ""Bonjour Sophie,\nNous sommes vraiment désolés que tu aies eu une mauvaise expérience. Comme nous l'avons confirmé auprès de l'organisateur, l'exposition pour laquelle tu avais acheté un ticket était bien ouverte. En raison des recommandations concernant le Covid-19, l'accès à certains établissements peut se trouver modifié. Ainsi, comme nous te l'avons confirmé lors de ton contact par chat le jour même, les guichets étaient fermés (comme le montrent tes photos) et nous avons essayé de t'aider à trouver l'accès puisqu'il fallait se rendre directement sur le toit.\nNous restons à ta disposition si tu as besoin d'autre chose.\nBien à toi,\nFever Team"", 'modified': '2020-07-12T11:46:10Z'}","Attention site malhonnête qui vend des places de sites fermés et qui refusent de rembourser les expériences qui n’ont pas pu être réalisées faute d’avoir pu accéder aux espaces. Service client déplorable. Un chat qui ne sert à rien même quand on les alerte en direct sur les difficultés rencontrées.  A éviter de toute urgence
Contrairement à ce que vous indiquez, la fille du chat ne m’a absolument pas aidé à trouver l’entrée. Elle était démunie, je lui ai envoyé les photos du site pour qu’elle constate en direct de la fermeture. Certes, sur internet, il était indiqué que le site était ouvert mais uniquement sur réservation et vous n’avez jamais confirmé ma réservation ni demandé de me rapprocher du site pour confirmer une réservation que j’avais réalisée via votre intermédiaire. Vous avez pris l’argent sans faire le nécessaire auprès de l’organisateur, ne détournez pas votre responsabilité",2020-07-06 05:28:37,FR
8,bylilas,5,False,Top,"{'id': 24170867, 'body': 'Bonjour ! Nous vous remercions pour votre retour :-) Nous sommes ravis que vous appréciez notre application et les expériences proposées :-) En cas de besoin, nos agents font toujours leur possible pour répondre dans les plus brefs délais. Bien cordialement,\n\nFever Team', 'modified': '2021-07-28T06:34:42Z'}","J ai utilisé fever à plusieurs reprises pour des événements et à chaque fois tout s’est bien passé mais je tiens surtout à féliciter l’équipe pour leur réactivité ! En effet j ai eu besoin de modifier une réservation et surprise, des échanges rapides, sympathiques et pro!!!",2021-07-23 21:40:15,FR
9,mamat7515,1,False,Arnaque!!!!!,"{'id': 13993659, 'body': ""Bonjour Matthieu,\r\nNous sommes désolés pour cette mauvaise expérience :(\r\nN'hésite pas à nous contacter par email à salut@feverup.com, chat ou téléphone, nous serons ravis de pouvoir t'aider et te proposer une solution. :)\r\nBien à toi,\r\nFever Team"", 'modified': '2020-03-11T22:14:12Z'}","Une véritable ARNAQUE !!! Personnel incompétent dans tous les services téléphonique, mail et sur place! 
Nous avons acheté nos place sur l’application pour un concert. Nous sommes arrivés précisément 4 minutes en retard et avons été refusé à l’entrée. Nous n’avons jamais été avisé par mail, sms, ou autre qu’il fallait arrivé au minimum 20 minutes avant le début! 
Le personnel sur place est tout simplement nul avec un comportement inadmissible, irrespectueux!!! Nous avons demandé un remboursement qui pour eux n’est pas possible car ils se renvoient la balle, et un échange de date mais cela reste trop compliqué pour répondre aux mails que nous leur avons envoyé. 
Bref cette société est à éviter fortement. Vous risquez de perdre votre argent et votre temps !!!",2020-03-09 23:17:32,FR
10,joe19872,4,False,Avis,"{'id': 25886700, 'body': ""Bonjour! Nous souhaitons vous remercier enormement pour vos commentaires! Ceux-ci, nous aident à améliorer et à vous offrir de nouvelles experiences plus qualitatives à l'avenir. Salutations de la part de toute l’équipe."", 'modified': '2021-10-25T18:18:58Z'}",L’application serait vraiment top si l’on pouvais faire un panier et payer les place en groupés.,2021-10-23 15:43:53,FR
11,Titou_8,5,False,Super,,Je n’ai malheureusement pas pu participer à l’événement à cause du COVID. Par contre je peux dire qu’ils répondent aux messages et remédient aux problèmes. Service au top !,2020-10-12 17:24:04,FR
12,RACHO93100,5,False,Je recommande les services de Fever,"{'id': 16974515, 'body': ""Bonjour,\nMerci beaucoup d'avoir pris le temps de nous laisser ta note et ton commentaire :) Nous faisons le maximum pour offrir le meilleur service à nos utilisateurs, même en cette période de crise, et nous sommes ravis d'avoir pu t'aider.\nMerci d'utiliser Fever!\nBien à toi,\nFever Team"", 'modified': '2020-07-30T08:55:00Z'}","Pour la premiere fois, j’ai utilisé les services de Fever pour assister avec des amis un event sur Paris.
L’event n’ayant pas pu avoir lieu en raison de la crise du Covid, ils m’ont rapidement informé du report de l’event et mis en place des solutions.
J’ai eu plusieurs échange avec eux de Avril jusqu’a  Juillet et j’ai toujours pu constater la qualité des réponses et des solutions mise en place pour moi.

Bref, je réutiliserais sans hesitations !!
RB",2020-07-18 10:16:12,FR
13,pauline_c,5,False,Évènements originaux,,"J'ai découvert récemment fever et l'appli propose plein d'évenements originaux, c'est top pour trouver des idées d'activités, et le SAV est réactif.",2020-09-06 10:43:17,FR
14,Esther.J.P,5,False,Idées de sortie,,"Superbe site, qui propose des idées originales de sorties 😊",2018-06-10 11:13:54,FR
15,MaxM1979,1,False,Application compliquée pour accéder aux tickets,"{'id': 25237578, 'body': ""Bonjour,\n\nNous sommes sincèrement navrés par cette incidence. Votre cas a peut-être été mal analysé. Pourriez-vous s'il vous plaît nous contacter à cette adresse mail: customer_satisfaction@feverup.com afin d'analyser de nouveau votre cas et de vous apporter une meilleure satisfaction?\n\nEn attente de votre mail à cette adresse mail :)"", 'modified': '2021-09-21T21:17:34Z'}","Client régulier chez Fever, je rencontre malgré tout très souvent des problèmes pour accéder aux billets. Les 2 derniers achats effectuons seront sans doute les derniers : tickets acheté le pour un restaurant pour un anniversaire. Le jour même, Fever annule les tickets sans donner d’explication. Après avoir appelé le restaurant, je constate qu’il a décidé de fermer le soir sans prévenir Fever. Et aujourd’hui : tickets achetés pour une croisière sur la Seine : les tickets sont refusés car Fever ne met pas de code-barres sur ses tickets et le partenaire ne veut plus travailler avec Fever. Le comble est qu’il continue de vendre ces tickets sur Fever … impressionnant l’organisation dans cette entreprise !!!",2021-09-12 16:31:10,FR
16,cutsla77,5,False,Service client irréprochable!,"{'id': 12724586, 'body': 'Bonjour,\nMerci beaucoup pour tes 5 étoiles et ton commentaire! Notre objectif est que nos utilisateurs soient satisfaits, et nous sommes ravis de savoir que nous avons accompli notre mission! :) Nous restons à ta disposition si tu as besoin de quoi que ce soit.\nBien à toi,\nFever Team', 'modified': '2020-01-04T22:14:40Z'}","Help desk très sympa, réactif et efficace.
Je m’étais trompée dans le choix de mon billet et ils ont accepté de me rembourser exceptionnellement, ce qui ne se fait pas normalement. Je recommande!",2019-12-31 10:17:36,FR
17,Maroushka puce,5,False,Fever,,J’ai été faire l’expérience de casa de Papel et d’avoir l’application fut très pratique avoir des e billets parfait je la conseille à tout le monde.,2021-09-08 14:56:47,FR
