,isEdited,developerResponse,review,title,date,rating,userName,country
0,False,"{'id': 10887947, 'body': 'Hi there! Thank you for such an amazing feedback! We work really hard to provide the best service to our users and to find the best plans in the city, so we are glad to know that we are on the right track!\r Thanks for using Fever! Kind regards, Fever Team', 'modified': '2019-09-25T12:40:46Z'}","I’m over the moon to find Fever, usually I search for hours looking for cool & interesting things to go & see, & by accident I came across Fever, which has now cut my search time online by 90%. Fever provides me with the coolest events in my city, easy to book, & at great prices. Additionally when I bought my first tickets the other day, I made a mistake in my order, contacted customer service, actually spoke to a person who really cared about my experience with their company, and my mistake was rectified straight away. Love this company already!",Great App & Great Customer Service!,2019-09-23 18:40:02,5,Penfold46,GB
1,False,"{'id': 11235700, 'body': 'Hello, We are sorry you think this way :( We are always glad to help in any way we can, however we have to comply with the policies of the company and our partners. We remain at your disposal in case you need anything. Kind regards, Fever Team', 'modified': '2019-10-14T11:41:25Z'}","My phone was unlocked in my pocket and somehow managed to book a £50 event ticket on Fever. I realised as it was happening and tried closing the app and refreshing as there was no cancel button, but frustratingly the booking went through. It was a Saturday, I tried every means of contacting them (email, phone etc) immediately after, explaining exactly what happened, to no avail. It took weeks of my persistent chasing (calling their phone which was never answered) before finally getting a response and then they refused to help or do anything about it. They wouldn’t even consider exchanging the money into credit to use on the app for other future event bookings. They were grossly unhelpful, unsympathetic and did nothing to resolve or compensate the situation which arose because they had an extremely insecure booking system. I will never use them again and would encourage others to steer clear of them - if anything goes wrong with your booking their customer service is appalling, they have no respect for their customers which is a shame as I had previously been a loyal customer and regularly made bookings through the app. But the second there was a mistake they couldn’t have cared less.",Hands down one of the worst companies I’ve ever dealt with,2019-10-04 18:03:20,1,BellaK22,GB
2,True,"{'id': 25833603, 'body': 'Hello! We apologize for the inconveniences. Please reach us at customer_satisfaction@feverup.com ASAP so we can prioritize your case, help you sort out your purchases and change your email address for you. We will be waiting for your email!\n\nFever Team', 'modified': '2021-10-22T22:49:02Z'}","Got the recommended app when I saw the advertisement for the Titanic exhibition coming soon and chose the option to ‘Continue with Apple I.D’ instead of creating an account using my email address. Because I did this, it’s created an email address from my Apple I.D that I can’t get emails through. I try to change my email address on my profile and it won’t allow me to. Now, when I book for the event, it tells me they’ve sent an email with all the info to my ‘email address’ which is the wrong one. Also, after signing up for the Titanic Waitlist on the website before getting the app, I got an email with a £5 off voucher. When I add it to the app, it is not recognised and can’t be used! There is absolutely nothing about a time limit for the voucher on the email. FIX THESE ISSUES PLEASE. Not a good first impression!! Update: the Fever customer service is some of the worst I have ever experienced. Although they do email back, in every single email it is very clear that they haven’t read my emails properly and so suggest things I have previously told them I’ve done. Absolute waste of time and no help at all.",Awful errors straight off the bat,2021-10-22 22:49:02,1,thisisbeeebee,GB
3,False,,"I bought tickets for an event late at night (after a bottle of wine-oops) and realised that I chose the wrong time slot. Having read that the tickets were unrefundable I tried contacting customer service through the in app chat thinking I was just going to be turned down. 
At midnight I was chatting with a customer service lady then via email, up until this morning, and now... I’ve got the slot I wanted! They cancelled my ticket and issued a voucher for the same amount I spent, it was all much easier than I imagined. Very pleased and looking forward to the event! 
The only downside of the app is that I feel that it is easily done to book the wrong date/time slot. When you go back to a previous page it resets the chosen date/time to the first available instead of the one that you had chosen. So you need to keep checking. I wish that it would say in every page what slot/date you were booking up until the confirmation of payment page. Just a heads up.",Excellent customer service,2017-09-23 11:13:31,4,claspu,GB
4,False,"{'id': 26836427, 'body': ""Hello! We regret to hear that your experience with us has not been positive. Feel free to reach us at customer_satisfaction@feverup.com if there's anything we can do to assist you. We apologize for the inconvenience!"", 'modified': '2021-12-14T22:50:42Z'}",I bought tickets for a restaurant using the app date and time search. I did this to Limit my search results to restaurants available on the date I searched for . The restaurant has now confirmed they are not accepting these tickets until after holiday season Fever is refusing to refund me even though there was NO notice of this issue with the restaurant on their app Fever are quick to take payments but then unreasonably try to refuse the refund and delaying dealing with matters. This sort of situation should not happen and if it does customers should be able to rely on a professional response with an immediate refund (like Groupon ). I would very strongly advise customers not to use this app. I will end up at small claims court wasting everyone’s time if this is not resolved . Completely unacceptable service,Refuses refund for missold restaurant tickets,2021-12-04 09:59:47,1,Review2014!,GB
5,False,,"After you book an event, make sure you check the address. Two out of two times address was incorrect, to be precise there were to addresses there, I’ve had to contact the support. Then I wanted to cancel one of the events, they did and said they sent me confirmation, to the wrong email address. I am still puzzled where it went. In the end, I’ve missed both events on that day. Lastly, they’ve issued a voucher with an expiry date of 24 hours, but nowhere was it stated that it was that. I contacted the support, they said my money have expired, but I didn’t attend the event!?! They have reopened the ticket and gave me a further 24 hours. When you live in London, 24 hours is a very short time. Also, there is no facility to see this in your account, they send you a very long email, figure it out yourself. I won’t be using the app again.",Surprised!,2018-06-28 07:27:28,1,ViktoriaMayenne183748,GB
6,False,"{'id': 22102157, 'body': 'Hello Jules! We are sorry that you feel that way, we are always willing to help our users in the best way possible, however, we must follow the return policy of the company and our partners. We are sorry for the inconvenience caused and we remain at your entire disposal in case you decide to give us another opportunity :)', 'modified': '2021-04-07T14:07:20Z'}","I don’t usually write reviews, but I feel I need to warn other users not to book through this company. I booked tickets to an event that Fever subsequently cancelled. They then issued me a voucher to rebook the same cancelled event...  I paid £100 for the tickets and the amount they decided to give me in vouchers is £50?! Their customer service response was that their tickets are non-refundable... As I wasn’t the one that cancelled the event, it’s appalling that they won’t refund the money - I paid for a service I am not going to receive through no fault of my own. Customer service agents clearly have a poor comprehension of English as I have explained my situation to them, only to receive the same response that they will not refund my money. Please stay away from this company - it’s a moneymaking scam.",SCAM - they will take your money and no refund,2021-04-01 06:12:56,1,JulesGil,GB
7,False,"{'id': 27521579, 'body': ""Hello. Thank you so much for your 5-star rating - it's much appreciated! We hope to see you again in future Fever events!"", 'modified': '2022-01-18T20:47:43Z'}","Fantastic show at IFEMA, Madrid, Spain. WAH Madrid is a complete experience from the outset, as you arrive. Great artists - singing, playing music instruments and dancing!!! Great Flamenco, absolutely WONDERFUL the girl dancing flamenco! We would have loved to see her dancing much more, as she was fabulous! The show could also last 20-30 minutes more, as it’s so enjoyable and fun -guess the artists would be stretching even more. 
Please do come to London as would love to take my friends to enjoy it too! (And for my family and me to repeat 😉)
Muchas gracias 😊",WAH MADRID,2022-01-16 12:59:36,5,CMMARERO,GB
8,False,,"Great app for cheap codes and recommend to others as great prices however customer service is very poor that why I’m reviewing at 1 star and they take far to long to get back to you so if you need help. you may not get an immediate response,  in terms of vouchers I would highly recommend for the cinema but the customer service let’s this app down big time! Had been using them for a while and Could do with improving at times felt as through one person I spoke with was treating it as a joke when I didn’t receive my ticket . If you don’t need help then you’re be okay otherwise might be better off using app groupon where the customer service is much better and it’s taken more seriously when you’d spent your money .",Customer service is poor,2018-07-26 22:48:19,1,Lovely lady2,GB
9,False,"{'id': 21897913, 'body': 'Hi ,\n\nThank you for the amazing rating! Great way to end the week!\n\nThank you for using Fever!', 'modified': '2021-03-27T11:31:31Z'}","I can’t rate FEVER event app enough, from the second I researched some fun evening events I. London I was led to FEVER and I’m so glad I was as there the exact type of chilled but fun filled London nights I was after, as well as being well priced too! 

The FEVER team were so helpful with me replying instantly to any quiries I had, on live chat and email! 

The app is also so easy to use and follow with many perks too! So check it out guys , if you love exploring different cities , like a nice easy app and website to use FEVER is the one!",The best!,2018-12-20 18:04:23,5,elleharris8,GB
