,review,userName,isEdited,date,title,rating,developerResponse,country
0,"Lo recomiendo mucho, ya que dan información de eventos diferentes a lo que comúnmente se hace en el fin de semana. Te abonan dinero por cada evento al que asistas y su organización en la ubicación es muy controlada.",aylyl,False,2022-02-15 05:14:15,Ideal para descubrir eventos en tu ciudad,5,,MX
1,Como siempre los norteamericanos haciendo menos a mi país... que asco de app tan discriminante !!! Adiós a la app !!,L.T.F.Gaby,False,2019-03-26 07:56:36,No está Mexico,1,,MX
2,Se ha vuelto imprescindible para buscar planazos y que hacer en Sevilla (o más ciudades). Precios mucho más bajos que comprando directo y además vas acumulando % como crédito. Encantada con haberla descubierto :D,anasflor92,False,2022-01-21 20:37:44,Tienes que descargarla!,5,,MX
3,"La página web no coincide con la app, no es posible que estén a cargo de eventos y no puedes resolver cosas ni usar la aplicación.
También hay muchos problemas para acceder si no quieres sincronizarla con otras cuentas.",javsjanalopooenndd,False,2022-01-22 21:25:36,Falta de ciudades,1,"{'id': 27636584, 'body': 'Hola. Lamentamos que tu experiencia con nosotros no haya sido positiva. Por favor contáctanos a customer_satisfaction@feverup.com en cuanto antes para priorizar tu caso y ofrecerte una solución.', 'modified': '2022-01-24T19:21:45Z'}",MX
4,Magnifica Exposición. Me encanto 🤩,DulceYv,False,2022-01-02 23:45:36,Excelente.,5,"{'id': 27285010, 'body': 'Hola. Muchísimas gracias por tomarte el tiempo de calificar nuestro evento. Esperamos que Fever te siga brindando experiencias únicas en tu ciudad.', 'modified': '2022-01-06T19:52:43Z'}",MX
5,Está increíble y muy bien diseñada la app   comprar y ver los eventos disponibles,Karen Brn,False,2022-01-02 16:11:02,Excelente!!!,5,"{'id': 27212725, 'body': 'Hola, Karen. El equipo de Fever está muy agradecido de tu buena calificación. Asegúrate de descargar nuestra app para que no pierdas detalle de los cientos de planes que ofrecemos en tu ciudad. ¡Gracias por usar Fever!', 'modified': '2022-01-03T20:31:31Z'}",MX
6,Hermosa experiencia!,Blanch 73,False,2022-01-01 20:07:40,Capilla sixtina,5,"{'id': 27212750, 'body': 'Hola. Muchísimas gracias por tomarte el tiempo de calificar nuestro evento. Esperamos que Fever te siga brindando experiencias únicas en tu ciudad.', 'modified': '2022-01-03T20:33:33Z'}",MX
7,"It is a great app for making up plans  with our friends or partners, even alone! There’s so much to do!",Izux2000,False,2021-12-29 05:13:05,Best to make plans!,5,,MX
8,"Buenos espectáculos, app fácil de usar h sin recargos",GOMS-2021,False,2021-12-12 18:18:44,Excelente,5,"{'id': 26829771, 'body': 'Muchísimas gracias por tu buena calificación a nuestro servicio. Esperamos seguirte brindando las mejores experiencias en el futuro. Un abrazo de parte de todo el equipo de Fever :)', 'modified': '2021-12-14T14:51:48Z'}",MX
9,Ya tuve,Trish Bosch,False,2021-12-01 05:23:45,"Experiencias mágicas ! Van Gogh, Capilla Sixtina y los que siguen…",5,"{'id': 26836504, 'body': 'Trish, desde el equipo de Fever estamos muy honrados de que nos des 5 estrellas por el servicio que te ofrecimos. Gracias a ti por contactar con Fever y esperamos verte pronto en alguno de nuestros eventos.', 'modified': '2021-12-14T23:03:57Z'}",MX
10,No aparece GDL🥲,"oyv,?<",False,2021-12-03 17:05:47,Help,1,"{'id': 26643415, 'body': 'Hola. Sentimos que tu experiencia no haya sido la mejor. Por favor, contáctanos a customer_satisfacion@feverup.com para poder estudiar tu caso y, si es posible, ofrecer una solución alternativa. Gracias.', 'modified': '2021-12-04T22:04:10Z'}",MX
11,"Tiene el catálogo de los mejores eventos de la ciudad, además que ofrece un monedero virtual en cada compra. Genial!",Escran1,False,2021-11-03 01:48:40,App Fantástica,5,"{'id': 26074750, 'body': 'Hola! Gracias por tu reseña tan positiva! Esperamos verte pronto en futuros eventos Fever :) ![](https://backend.growthdot.com/reply-after-this/3381879_257f7590-ade1-4116-bbf9-822644ab6766.gif)\n\nFever Team', 'modified': '2021-11-04T09:13:39Z'}",MX
12,"Están muy bien las descripciones e información. Bien organizado.
Solo si aceptaran pagos con PayPal y permitir búsqueda por lugar estaría mucho mejor. Si quiero saber qué va a haber en un foro que me queda muy cómodo no es posible filtrarlo….",AMM23,False,2021-11-05 22:20:56,Muy bien peero…,4,"{'id': 26120514, 'body': 'Hola! Gracias por tus sugerencias. Nos aseguraremos de enviarlas al departamento correcto y así tomarlas en cuenta a futuro :) ![](https://backend.growthdot.com/reply-after-this/3419752_c41e8843-ab8c-471c-82a3-325cdbe4e228.gif)\n\nFever Team', 'modified': '2021-11-07T10:36:25Z'}",MX
13,"El domingo 3 de octubre, mi hija nos invitó a mi esposa y a mi a celebrar nuestras bodas de plata con el mágico concierto de las Cuatro Estaciones de Vivaldi en el Nacional Monte de Piedad del centro histórico de la CDMX 

La orquesta toca increíblemente bien, la solista Aura tiene una pasión contagiosa, el escenario es espectacular, y todo el concepto de la luz de las velas hacen de esta experiencia un “must” para los que buscan la belleza en esta vida, a pesar de las circunstancias económico-político-sanitarias tan complejas que estamos viviendo!",Jip y Alf,False,2021-10-04 16:42:53,Noche mágica by Fever,5,"{'id': 25579010, 'body': '¡Hola! Muchísimas gracias por tomarte el tiempo de dejarnos esta reseña tan positiva y detallada. Nos encanta saber que pudimos brindarte una experiencia así de especial y mágica. Un abrazo de parte de todo el equipo de Fever ❤️', 'modified': '2021-10-08T21:33:45Z'}",MX
14,"Si quieres modificar tus tickets se quedan con tu dinero justificando que está en los términos que aceptaste los cuales nunca los muestran. 
Pésima atención a clientes.",danieevmtz,False,2021-10-25 14:42:53,Buena app pero pésimo trato,1,"{'id': 25913210, 'body': 'Hola. Sentimos que tu experiencia no haya sido la mejor. Por favor, contáctanos a customer_satisfacion@feverup.com para poder estudiar tu caso y, si es posible, ofrecer una solución alternativa. Gracias. ![](https://backend.growthdot.com/reply-after-this/3276335_f95aa2b4-bddb-46f1-a4dc-59f10f803b38.gif)\n\nFever Team', 'modified': '2021-10-26T21:51:43Z'}",MX
15,Disfrute mucho del concierto de anime! A darle oportunidad a más experiencias,Kikyo30,False,2021-08-28 05:03:05,Excelente,5,"{'id': 24780631, 'body': 'Hola. Muchísimas gracias por tu buena calificación. Esperamos seguirte brindando las mejores experiencias en el futuro. Un abrazo de parte de todo el equipo de Fever :) ![](https://backend.growthdot.com/api/mail-tracking/resources/2551842_41a9c47d-fdda-4e95-9c9a-70f391b1574d.gif)\n\nFever Team', 'modified': '2021-08-29T10:39:58Z'}",MX
16,"Fue una experiencia maravillosa, todo muy organizado. El cuarteto de cuerdas tocó hermoso, las bailarinas fueron estupendas. Hay muchas medidas de seguridad de acuerdo al covid",Lolates,False,2021-07-20 04:41:12,Candlelight,5,"{'id': 24067869, 'body': 'Gracias por tu reseña tan positiva! Nos complace saber que has disfrutado tanto de nuestro evento 😊\u200b\n\nFever Team', 'modified': '2021-07-22T10:23:58Z'}",MX
17,"Compre dos boletos para una fecha importante y una semana antes cambiaron el evento, imponiendo una fecha y horario que ellos quisieron. No les importa tu tiempo o si lo planeaste, y como se les ocurre hacer un aventó el domingo a las 8 de la noche. Por lo menos hubieran respetado el día y horario.",Enrique6913,False,2021-08-13 15:27:32,No compren,1,"{'id': 24533888, 'body': 'Hola, Enrique.\nSentimos que tu experiencia con nosotros no haya sido positiva. Si no estás de acuerdo con la solución que te ofrecimos, contacta nuevamente con nuestro equipo de User Support para reabrir tu caso y ver qué otra solución podemos ofrecerte.\nPerdona las molestias. ![](https://backend.growthdot.com/api/mail-tracking/resources/2405620_c31b8481-7fab-4f68-9f6f-1f923fb886f2.gif)\n\nFever Team', 'modified': '2021-08-16T15:09:15Z'}",MX
18,Me encanto la app y los eventos están geniales,Ladydragon3,False,2021-07-10 02:32:31,Excelente,5,"{'id': 23860209, 'body': 'Gracias por tu reseña positiva! Nos complace saber que nuestra app te ha gustado tanto 😍\u200b\n\nFever Team', 'modified': '2021-07-11T09:44:52Z'}",MX
19,"Pésima aplicación! Los eventos que hacen son fantasma! Compré una clase de cocina, la chef llegó al lugar pero porque da la clase con otra aplicación! Nos estafaron!!! En total éramos 8 personas!! QUE QUEDE CLARO!!! La chef no tienen nada que ver!! Es la aplicación! Pésimo!!!! 
Y por comentarios anteriores veo que ni si quiera me van a regresar el dinero 😡😡😡😡",K-no19,False,2021-07-12 17:26:03,NO COMPREN NADA!!!!,1,"{'id': 23923919, 'body': 'Hola! Lamentamos las inconveniencias causadas con tu evento. Por favor ponte en contacto con customer_satisfaction@feverup.com en cuanto antes para poder echarle un vistazo a tu caso y asistirte correctamente. Gracias!\n\nFever Team', 'modified': '2021-07-14T11:25:01Z'}",MX
20,Excelente atención vía correo. Atendieron mi solicitud de manera impecable.,Guada102,False,2021-07-06 22:30:45,Me ofrecieron opciones para mis tickets pandemicos,5,"{'id': 23825431, 'body': 'Hola, Guada. Gracias a ti por trabajar con nosotros en solucionar tu incidencia y por dejarnos esta reseña. Recibe un gran abrazo de parte de todo el equipo de Fever 🤗\n\nFever Team', 'modified': '2021-07-08T16:38:38Z'}",MX
