,developerResponse,rating,isEdited,userName,date,title,review,country
0,"{'id': 21421716, 'body': 'Hello Jenn!\nWe are incredibly grateful that you took the time out to leave us a 5-Star review 😍\nWe really appreciate you being a customer and helping to share the word about us. We’re here for you anytime.\nBest regards,\n', 'modified': '2021-03-03T10:32:56Z'}",5,False,JENN PAIZ,2021-01-13 06:55:13,Amazing stunning experience Celebration!!,"I got the tickets to bring my mother on her earlier B-Day celebration. She really loved. All the experience was spectacular. Our server Shelby was fenomenal !! All the Asistant was pretty amazing as well, beautiful atmosphere, wonderful food, good drinks, and the most importa the crew was making feel like the way I wanna she feels.... SPECIAL ON HER DAY !!! She really had a blast night on her early celebration!!! I’m so glad to get that tickets for her and make her feel special and remember old melodies that she love and dance, back on time !! I actually got another day to go enjoy as well !!! 
Now I’m addicted with this app and no only that shows are amazing, became a member with the app, you, no only get all the info in one.... you even got points that counts like money. So in your next purchase you will have few bocks discount of the total if you use it. Remember you have to check on the expiration. Yesssss like everything, this credit of the previous purchases has expired date as well. So why not to enjoy another show right !! 😁🙉🙈😁👌🏼 I know I’m getting really bad getting so manyyyyyy activity here. I’M IN LOVE WHIT THIS APP NOW.  🤷🏼‍♀️🥰😁😉👌🏼~Jenn Paiz~",US
1,"{'id': 21425439, 'body': ""Hello! We are really sorry for the inconveniences. We are unable to track you incidence here, could you please email us at hello@feverup.com? We are experiencing high volume of contacts but do not worry we'll get back to you as soon as possible with a solution. Best regards,\r\n\r\n"", 'modified': '2021-03-03T19:12:43Z'}",4,True,Sniffmenow,2021-03-03 19:12:43,-UPDATE- Star Wars experience,"So someone from feverup finally responded back. And replaced my useless vouchers with vouchers I was able to use on the app. I went to the bubbly brunch mimosas with baby goats and it was pretty fun. I was scared the experience was going to be a scam, but it really wasn’t. The goats were pretty cute and very wild, you get to feed them too so it’s overall a great place to go on a first date. 

————————————————————————

I tried to get a refund for the experience but they said they do not do refunds and I can get a voucher instead. So whatever I did. The event is now showing that it has ended and the show wasn’t even supposed to happen until March. I have been trying to reach out to these people to get a voucher to use on something else and they have been of no help. I also have another voucher that I can only use for the Star Wars experience. So at the moment I have two useless vouchers that I can only use for an experience that is not even happening. If someone from fever can reach out to me and get this resolved I will change my review. Until then I do not recommend buying anything on this app.",US
2,"{'id': 24895412, 'body': 'Hello. We are sorry about your bad experience, but we assure you this is a serious company and all the good reviews are real. These last months have been really difficult for us and our event organizers, but we are working really hard to make our events the best they can be in spite of everything. If you need anything else, please contact us at customer_satisfaction@feverup.com. Thank you.', 'modified': '2021-09-03T15:17:25Z'}",1,False,restlessbee35,2021-09-01 19:16:01,ITS A SCAM DO NOT BUY TICKETS,"First, notice that all the good reviews are about the service, not about how wonderful the events are. That’s very important (because I’m pretty sure most of the events either don’t actually exist or they are put together very poorly). 
Second, my story and experience with fever is much the same as those who have given a similar rating. I bought tickets for two events MONTHS in advance. The week before the first one (the candlelight concert) I noticed that the dates on our tickets had changed to a later date. When I tried the “chat live” option, I got a message saying they were busy and then another saying to email my email to them so they could get back to me later. I asked for either the date on our tickets to be changed back to when we had originally booked or for a refund. When someone eventually got back to me, I was told they had to unexpectedly “postpone” the event. I asked for a refund of the tickets for that event as well as the Van Gogh event. I was told I would be receiving a refund and I’m waiting patiently for that to occur. 
Please look this app up on the Better Business Bureau, those reports say a lot of the same things. This app is a scam and I have no idea how it has such a high rating. It’s the Fyre festival all over again.",US
3,"{'id': 23520485, 'body': ""We truly appreciate that you revised your review, Lisa! At Fever, we always strive to provide our customers with outstanding customer service, so we're happy to hear that you were assisted satisfactorily.\n\nFever Team"", 'modified': '2021-06-22T09:48:53Z'}",4,False,NiceGirlLisa,2021-06-21 00:13:47,Customer Service Improved,"Updated review: I updated my review from 1 star to 4 stars because the customer service department really went out of their way to do the right thing. They showed empathy and allowed my concerns to be heard. I appreciate the follow up. 

Original review: Fever has horrible customer service and there is no phone number to contact anyone. We had a death in the family and wanted to reschedule our tickets to an event that evening and Israel the live chat agent was very rude to me after I explained the situation. We weren’t asking for a refund, just a reschedule. I asked to speak with a supervisor or manager and he said that was not possible. He said “I’m not going to bend rules for you or anyone else. If you had contacted us 24 hours in advance we may have been able to help you. No company in world would give you refund the same day.” And then he disconnected the chat before I could respond. Again, we didn’t want a refund, just a reschedule. Horrible way to treat someone who is grieving. Never again!",US
4,,1,False,mreizorc,2021-10-10 11:28:28,Repeat customer not returning,"I've bought at least four event tickets recently and have really enjoyed this app. But last night around 6:30 EST the app was not working correctly. When I viewed my most recent purchase it said there was only one ticket. I was pretty upset because it was a purchase for my son the next day and I was worried that there would not be tickets left this late. I was confident that I had made a purchase of three but I continued to refresh the app and it continued to display only one. I even showed it to my  I then purchased two additional tickets so our family could attend the planned event. Minutes later I returned to the app and it now stated 3 tickets on the original purchase and 2 on the second purchase. I reached out to the customer service line which responded that they do not issue refunds. To me this is a no brainer in customer service. If a customer is telling you the app you developed and regulate had an error which resulted in additional purchases the company should issue a refund. In addition this also to me seems like fraud. If I tell the user they only have one ticket they'll buy more and that increases my sales. Overall I'm not returning to this app, if this is how they operate fraudulently. 

Disgruntled to say the least.",US
5,"{'id': 23726533, 'body': 'Hello Rae! We regret to hear that your experience with us has not been positive. Please, contact our Customer Satisfaction department at customer_satisfaction@feverup.com so we can reopen your case and exploring all the solutions for your case. We apologize for the inconvenience!\n\nFever Team', 'modified': '2021-07-03T20:40:22Z'}",1,False,RaeS221,2021-06-30 16:15:03,TOTAL SCAM DO NOT USE,"I wish I saw these reviews before I purchased. I got lured into a “Dining in the Dark” experience on Facebook. A couple days before the event, it was cancelled with no new date. I waited a few days then finally reached out and never got a reply back except for automated messages. I then got a notification that my case was closed even though I had not received a resolution as to whether or not I could get a refund or the new date. Finally I had to tell them I would dispute the charge with my bank before they replied that they don’t give any refunds. Period. Completely unreasonable considering they cancelled the event & without a new date how would I know I could attend? They offered me a “VIP” voucher. I can’t even use it for anything but the event I originally purchased soooo how is that at all helpful? I tried to use the live chat and no one ever got back to me. They have no phone number and if you look at their FB page, all of their comments are hidden. Sounds sus to me. I wish I had looked at these reviews and reviews on many other sites with people saying the same thing! To hear that I’m not the only one going through this just shows they either really don’t care about the consumer or it’s a SCAM! Save your money.",US
6,"{'id': 22254341, 'body': 'Hello! We regret to hear about the inconveniences caused by the incidence with your event and your experience with our app. As we work with hundreds of partners around the world, we must respect the terms and conditions of each of our partnerships when it comes to refunds. We apologize for the inconvenience and we truly hope that you will give us another chance in the future :)', 'modified': '2021-04-15T06:52:34Z'}",1,False,Ivanka Trumpets,2021-04-13 10:40:29,waste of space,"Wish I could give a zero rating because I truly feel like this app is garbage. They are fraudulent and are a scam. Their costumer service is useless. First I was on a waiting listing for Kusama’s new exhibit at the NYBG. I purchased two tickets through fever which I thought was for the whole exhibit but turns out I spent 50 dollars for only garden passes. Very misleading. 

On the day of the event it was total down pour. The weather was awful for an outdoor art exhibit. I contacted NYBG who told me to contact fever since they couldn’t refund me. Fever did nothing to help me. They didn’t offer a refund, didn’t offer a voucher just took my 50 dollars despite being misleading, doesn’t explain their ticketing policy or anything. They were just like lols sorry we only give vouchers 48 hours before the event. They say whatever they can to blow you off and take your money. 

I had to contact my credit card company to get this charge removed. This app is a waste of time, this company is a waste of space. The user experience of this whole app is bad. The interface is annoying.  How does this app have a 4.8 rating when it’s flooded with negative reviews? They probably get their employees to leave good rating. Seriously such a scam.",US
7,"{'id': 9177587, 'body': 'Hi, Thanks for your feedback! We are sorry you think this way :(  We take your comments into account so we can continue to improve. We hope you enjoy the app anyway ;) Kind regards,   Fever Team', 'modified': '2019-06-14T21:44:00Z'}",4,False,Dorklepuff,2019-05-23 18:25:26,Cool events but Deceptive Advertising,"I know the app isn’t generally responsible for all of the events other than as a marketing/ticketing tool, so I have no issues with that service. They definitely have some cool stuff. However, I think the way they sell tickets is very shady. For the event I bought tickets for, 2/3 days were sold out. No biggie - I bought for the third day while a big red sign flashed at me saying “LESS THAN TEN TICKETS LEFT. BUY NOW” Gross marketing tactic to get people to buy without thinking. Then, if you read the notice fully, it says less than ten tickets left “at their best price.” I was also able to buy at least 12 tickets at their “best price” that supposedly only had 10 left. I obviously only bought two, as that’s all I needed, but it’s a really manipulative system. They also opt you in to sharing a ton of data unless you dig into the permissions and opt out (Which you should do), but that’s not really a surprise today.",US
8,"{'id': 21589082, 'body': ""Hello Irena,\nThank you for your review. We're sorry to hear you had such a frustrating experience, but we really appreciate you bringing this issue to our attention.\n\nWe'd like to learn more about your specific situation and make things right, can you please email us at hello@feverup.com at your earliest convenience?\nBest regards,"", 'modified': '2021-03-11T12:23:08Z'}",1,False,IrenaS73,2021-03-03 17:05:40,Worst app experience ever!,"I see the service and policy of Fever as criminal. They take the money even without providing what you paid for. The app works incorrectly and jumps the selected event time. And it happened to me TWICE! After the first time (and an 8-day wait), I got a voucher in the amount of what I had paid and the instructions pointed out that the total should be zero if I applied the voucher correctly. However, they still charged me the fees ($30 for 6 tickets) which I accepted to pay as I really wanted to go to this event and there was no other way to purchase tickets. And it happened AGAIN!!! WRONG TIME! This was not my mistake neither I have changed my mind. It was purely an app malfunction BUT the only answer I got is that they have no-refund policy. And that they see the time differently on their platform which is another proof of malfunction as I provided screenshots of what I see in the app but nobody seems to care. In the meantime, a friend managed to buy correct tickets (that’s how much we want to go). And I have 6 tickets for the time nobody needs and $253 less in my account. And the saddest part is that I see now I’m not alone in this as there are many reviewers that experienced the same.",US
9,"{'id': 22169430, 'body': 'Hello! We are sorry that you feel that way, we are always willing to help our users in the best way possible, however, we must follow the return policy of the company and our partners. We are sorry for the inconvenience caused and we remain at your entire disposal in case you decide to give us another opportunity as we’re always working on constant improvements :)', 'modified': '2021-04-11T11:42:16Z'}",1,False,iv2021,2021-04-09 17:52:59,"Unfair business practices, beware","I purchased tickets for an event months ahead of time, then closer to the event the event was postponed and we were given vouchers for the rescheduled event for 3 months out. Fine, I went ahead and scheduled the new dates.

 Closer to the new dates the event was canceled stating that we would be given vouchers for the same event. However, no new dates were posted. Since no new dates were posted I contacted costumer service requesting a refund (my tickets were $140) since the event had no new dates.

After multiple back and forth emails , fever refuses to offer a refund and insists on providing vouchers. I was told the event I initially purchased tickets for is no longer offered and I was told to check the fever app regularly FOR THE NEXT NINE MONTHS just to see if they make new dates available. How does that make any sense? If the original event is not being offered we should be given refunds. Their customer service is poor and their practices are unfair and deceptive. It’s better to look locally online for events you’re interested in than using this app or fever for anything. I won’t be purchasing through them again.",US
